City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mitu,1.1983,-70.1733,23.23,93,15,0.93,CO,1697679989
1,albany,42.6001,-73.9662,11.24,89,79,0.97,US,1697680228
2,anna regina,7.2644,-58.5077,27.86,78,59,3.33,GY,1697680268
3,kuressaare,58.2481,22.5039,0.53,93,20,1.54,EE,1697680269
4,charleston,32.7766,-79.9309,14.45,89,0,2.06,US,1697680140
5,blackmans bay,-43.0167,147.3167,20.85,54,100,1.34,AU,1697680269
6,kefamenanu,-9.4467,124.4781,33.56,23,15,4.23,ID,1697680269
7,tongliao,43.6125,122.2653,11.55,34,0,5.88,CN,1697680269
8,adamstown,-25.066,-130.1015,22.67,75,17,0.5,PN,1697680269
9,bengkulu,-3.8004,102.2655,26.97,70,48,1.21,ID,1697680269
10,egilsstadir,65.2653,-14.3948,7.95,71,100,4.63,IS,1697680269
11,praia da vitoria,38.7333,-27.0667,19.31,77,40,10.4,PT,1697680269
12,olonkinbyen,70.9221,-8.7187,3.67,88,100,10.21,SJ,1697680270
13,fortuna,40.5982,-124.1573,14.4,96,100,0.0,US,1697680270
14,qaqortoq,60.7167,-46.0333,-1.39,58,52,2.12,GL,1697680270
15,hawaiian paradise park,19.5933,-154.9731,27.73,74,75,3.6,US,1697680270
16,tocopilla,-22.092,-70.1979,20.29,65,55,2.25,CL,1697680270
17,margaret river,-33.95,115.0667,16.29,55,94,3.36,AU,1697680270
18,puerto ayora,-0.7393,-90.3518,24.19,96,73,2.68,EC,1697680270
19,sao vicente,-23.9631,-46.3919,22.1,26,100,2.31,BR,1697680270
20,diamantina,-18.2494,-43.6003,21.87,61,96,2.89,BR,1697680270
21,nha trang,12.25,109.1833,30.0,74,100,0.58,VN,1697680271
22,minas de marcona,-15.2119,-75.1103,16.7,79,80,2.88,PE,1697680271
23,puerto natales,-51.7236,-72.4875,6.56,93,100,1.85,CL,1697680271
24,whitehorse,60.7161,-135.0538,8.43,89,75,5.66,CA,1697680258
25,waitangi,-43.9535,-176.5597,12.68,81,99,4.02,NZ,1697680271
26,plesetsk,62.708,40.2916,1.5,77,100,4.37,RU,1697680271
27,mount gambier,-37.8333,140.7667,25.96,25,72,3.02,AU,1697680271
28,west island,-12.1568,96.8225,26.99,78,40,5.66,CC,1697680271
29,ouani,-12.1322,44.4258,25.73,84,68,3.99,KM,1697680271
30,colonia,50.9333,6.95,14.21,90,75,4.63,DE,1697680271
31,port elizabeth,-33.918,25.5701,15.73,95,20,2.57,ZA,1697680272
32,bethel,41.3712,-73.414,14.2,81,100,2.06,US,1697680272
33,ilulissat,69.2167,-51.1,-8.99,73,75,2.06,GL,1697680272
34,thinadhoo,0.5333,72.9333,27.06,78,72,3.81,MV,1697680272
35,hithadhoo,-0.6,73.0833,26.94,78,84,3.77,MV,1697680272
36,grytviken,-54.2811,-36.5092,3.35,70,100,4.19,GS,1697680272
37,edinburgh of the seven seas,-37.0676,-12.3116,13.82,93,76,9.18,SH,1697680272
38,lihue,21.9789,-159.3672,30.58,65,0,4.63,US,1697680272
39,novo aripuana,-5.1206,-60.3797,27.06,64,30,1.63,BR,1697680272
40,port mathurin,-19.6833,63.4167,23.7,81,97,5.33,MU,1697680272
41,udachny,66.4167,112.4,-10.86,85,100,2.06,RU,1697680273
42,bandar abbas,27.1865,56.2808,27.99,89,40,2.06,IR,1697680273
43,nemuro,43.3236,145.575,15.27,82,100,8.69,JP,1697680273
44,port-aux-francais,-49.35,70.2167,1.32,78,95,10.33,TF,1697680273
45,vilhena,-12.7406,-60.1458,26.25,43,59,0.72,BR,1697680109
46,alakurtti,66.9672,30.3491,-3.66,84,87,2.39,RU,1697680273
47,ribeira grande,38.5167,-28.7,19.32,84,31,3.13,PT,1697680273
48,lompoc,34.6391,-120.4579,24.45,94,0,2.06,US,1697680273
49,fale old settlement,-9.3852,-171.2468,28.56,71,16,3.18,TK,1697680273
50,hamilton,39.1834,-84.5333,13.88,79,0,2.57,US,1697680147
51,portland,45.5234,-122.6762,19.96,76,20,3.09,US,1697679826
52,yeppoon,-23.1333,150.7333,25.88,59,86,5.89,AU,1697680274
53,yuzhno-kurilsk,44.0306,145.8556,14.1,58,100,7.13,RU,1697680274
54,longyearbyen,78.2186,15.6401,2.91,81,75,11.32,SJ,1697680274
55,happy valley-goose bay,53.3168,-60.3315,2.17,80,20,1.54,CA,1697680274
56,haiku-pauwela,20.9219,-156.3051,28.01,61,40,9.77,US,1697680274
57,daru,-9.0763,143.2092,27.23,77,100,5.47,PG,1697680274
58,remire-montjoly,4.9167,-52.2667,24.02,100,0,0.0,GF,1697680274
59,kavaratti,10.5669,72.642,28.0,72,100,1.9,IN,1697680274
60,inirida,3.8653,-67.9239,25.22,85,52,0.84,CO,1697680274
61,fonte boa,-2.4959,-66.2662,23.51,92,24,0.9,BR,1697680275
62,iskateley,67.6803,53.1512,1.12,89,100,4.02,RU,1697680275
63,oltinko'l,40.8011,72.1634,15.22,30,43,1.09,UZ,1697680275
64,tiksi,71.6872,128.8694,-5.7,97,100,2.89,RU,1697680275
65,ixtapa,20.7,-105.2,27.57,78,100,1.54,MX,1697680275
